file_path,sec,len,cnt
results/deeplll10/svpchallengedim40seed0dim10delta0.98999995.txt,13.263,717,6932
results/deeplll10/svpchallengedim40seed0dim10delta1.txt,13.802,742,7131
results/deeplll10/svpchallengedim40seed0dim15delta0.98999995.txt,135.504,1805,30555
results/deeplll10/svpchallengedim40seed0dim15delta1.txt,149.252,1964,33053
results/deeplll10/svpchallengedim40seed0dim20delta0.98999995.txt,615.837,2287,42960
results/deeplll10/svpchallengedim40seed0dim20delta1.txt,381.129,2414,44230
results/deeplll10/svpchallengedim40seed0dim25delta0.98999995.txt,1158.727,2623,51867
results/deeplll10/svpchallengedim40seed0dim25delta1.txt,923.315,2414,44280
results/deeplll10/svpchallengedim40seed0dim30delta0.98999995.txt,1027.713,2623,51917
results/deeplll10/svpchallengedim40seed0dim30delta1.txt,880.569,2414,44330
results/deeplll10/svpchallengedim40seed0dim35delta0.98999995.txt,1363.437,2623,51967
results/deeplll10/svpchallengedim40seed0dim35delta1.txt,1064.941,2414,44380
results/deeplll10/svpchallengedim40seed0dim40delta0.98999995.txt,1710.539,2623,52017
results/deeplll10/svpchallengedim40seed0dim40delta1.txt,1337.022,2414,44430
results/deeplll10/svpchallengedim40seed1dim10delta0.98999995.txt,15.167,778,7123
results/deeplll10/svpchallengedim40seed1dim10delta1.txt,15.515,801,7265
results/deeplll10/svpchallengedim40seed1dim15delta0.98999995.txt,108.114,1514,23410
